"date","lake","site","thermo_depth","schmidt_stability","strat"
"2004-06-15","Okataina","1",0,91.3395380583694,0
"2004-06-15","Rotoehu","3",0,4.53727906721211,0
"2004-06-15","Rotoma","1",0,83.4038512963885,0
"2004-06-16","Rotorua","2",0,4.23761623397363,0
"2004-06-16","Rotorua","5",0,5.5061079523998,0
"2004-06-16","Tikitapu","1",0,0.572042162986728,0
"2004-06-16","Tarawera","5",0,79.5255269638976,0
"2004-06-16","Okareka","1",0,4.265113232824,0
"2004-06-23","Okaro","1",0,2.22495771041087,0
"2004-06-23","Rotomahana","2",0,0.0154143546899816,0
"2004-06-23","Rerewhakaaitu","1",0,1.4326787614995,0
"2004-08-24","Rotorua","2",0,2.60800773138691,0
"2004-08-24","Rotorua","5",0,5.98601650166485,0
"2004-08-25","Tikitapu","1",0,9.40381426723495,0
"2004-08-25","Tarawera","5",0,-0.806580315781442,0
"2004-08-25","Okareka","1",0,8.93736111882471,0
"2004-08-25","Rotoiti","3",0,13.5919277554446,0
"2004-08-25","Okataina","1",0,2.84758947247811,0
"2004-08-25","Rotoehu","3",0,7.01562865275266,0
"2004-08-25","Rotoma","1",0,3.93648380185498,0
"2004-08-26","Okaro","1",0,0.922384015748346,0
"2004-08-26","Rotoiti","Okawa",0,2.83643978345413,0
"2004-08-26","Rotoiti","4",0,5.19853120111814,0
"2004-08-26","Rotomahana","2",0,-0.00151990161982612,0
"2004-08-26","Rerewhakaaitu","1",0,0.494282422952613,0
"2004-09-29","Okataina","1",0,10.9730643685855,0
"2004-09-30","Rotorua","2",0,0.417403274686511,0
"2004-09-30","Rotorua","5",0,3.08215627751369,0
"2004-09-30","Tikitapu","1",0,23.6655618215229,0
"2004-09-30","Tarawera","5",0,12.9752190094267,0
"2004-09-30","Okareka","1",0,36.2744495344724,0
"2004-10-06","Rotoiti","Okawa",0,0.756463258361647,0
"2004-10-06","Rotoiti","3",0,34.3818879422675,0
